Year,Real Median Income (U.S. Dollars)
1974,28010
1975,27450
1976,27520
1977,27690
1978,27460
1979,26710
1980,26340
1981,25820
1982,26090
1983,26620
1984,27390
1985,27990
1986,28880
1987,29280
1988,30180
1989,30970
1990,30660
1991,30210
1992,29890
1993,30200
1994,30540
1995,31390
1996,32060
1997,33480
1998,35130
1999,35510
2000,35880
2001,35770
2002,35630
2003,35770
2004,35730
2005,36390
2006,37500
2007,37740
2008,36250
2009,35880
2010,35450
2011,34920
2012,34780
2013,35240
2014,36100
2015,37990
2016,38730
2017,39110
2018,40430
2019,42530
2020,41950
2021,42020
2022,42090
2023,42220
